Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,719,0,3,7.210067136411364,1.4261670294217765,90.56445799069479,151.0,24.77974618025439,0.0,3,4,5,7,20,32,50,63,91,91,91
POST,POST /auth/token,50,0,65,64.48706413735636,38.09333295794204,97.88104199105874,183.28,1.7232090528688726,0.0,67,71,72,73,75,97,98,98,98,98,98
POST,POST /chat/message,3627,0,8,16.547401807306763,4.297042032703757,143.2577499654144,70.0,125.00158469510802,0.0,8,9,12,17,45,70,97,110,130,140,140
,Aggregated,4396,0,7,15.565472664478895,1.4261670294217765,143.2577499654144,84.53662420382166,151.50453992823128,0.0,7,9,12,16,44,68,92,110,130,140,140
